household_key,snapshot_day,raw_model_score,probability_method,lapse_probability,driver_rank,raw_feature,raw_feature_value,transformed_feature,transformed_value,shap_contribution_model_output,direction_sign,shap_output_scale,probability_ready_for_downstream,direction
1108,655,0.8291528114196092,native_raw,0.8291528114196092,1,recency_to_typical_gap,45.0,recency_to_typical_gap,14.738089496097972,1.7968602122846276,1,log_odds,True,riski artıran
1108,655,0.8291528114196092,native_raw,0.8291528114196092,2,active_weeks,1.0,active_weeks,-1.9139712589256344,1.5722842121600638,1,log_odds,True,riski artıran
1108,655,0.8291528114196092,native_raw,0.8291528114196092,3,discounted_basket_rate,0.0,discounted_basket_rate,-6.017384288457615,0.7347470084753193,1,log_odds,True,riski artıran
1108,655,0.8291528114196092,native_raw,0.8291528114196092,4,active_weeks_last_4w,0.0,active_weeks_last_4w,-1.7331179089168254,0.45718616505910575,1,log_odds,True,riski artıran
1108,655,0.8291528114196092,native_raw,0.8291528114196092,5,weekly_spend_cv_12w,3.4641016151377544,weekly_spend_cv_12w,2.449852019891253,0.44457228711681496,1,log_odds,True,riski artıran
1038,655,0.6597455417922223,native_raw,0.6597455417922223,1,recency_to_typical_gap,57.0,recency_to_typical_gap,18.803036868110457,2.2889571407619083,1,log_odds,True,riski artıran
1038,655,0.6597455417922223,native_raw,0.6597455417922223,2,basket_slope_12w,-0.4825174825174825,basket_slope_12w,-3.8886592806615154,1.2643447559988468,1,log_odds,True,riski artıran
1038,655,0.6597455417922223,native_raw,0.6597455417922223,3,recency_days,57.0,recency_days,2.9526491528922696,0.5096409026825383,1,log_odds,True,riski artıran
1038,655,0.6597455417922223,native_raw,0.6597455417922223,4,active_weeks_last_4w,0.0,active_weeks_last_4w,-1.7331179089168254,0.45718616505910575,1,log_odds,True,riski artıran
1038,655,0.6597455417922223,native_raw,0.6597455417922223,5,active_weeks,17.0,active_weeks,0.25782952418547933,-0.32775713184001326,-1,log_odds,True,riski azaltan
1682,655,0.6400537119498636,native_raw,0.6400537119498636,1,active_weeks,2.0,active_weeks,-1.7782337099811898,1.453531628160059,1,log_odds,True,riski artıran
1682,655,0.6400537119498636,native_raw,0.6400537119498636,2,recent_mean_purchase_gap_3,57.0,recent_mean_purchase_gap_3,2.8527245276309463,0.8325504020425611,1,log_odds,True,riski artıran
1682,655,0.6400537119498636,native_raw,0.6400537119498636,3,discounted_basket_rate,0.0,discounted_basket_rate,-6.017384288457615,0.7347470084753193,1,log_odds,True,riski artıran
1682,655,0.6400537119498636,native_raw,0.6400537119498636,4,recency_days,67.0,recency_days,3.593074560893003,0.6177531009605481,1,log_odds,True,riski artıran
1682,655,0.6400537119498636,native_raw,0.6400537119498636,5,active_weeks_last_4w,0.0,active_weeks_last_4w,-1.7331179089168254,0.45718616505910575,1,log_odds,True,riski artıran
880,655,0.591394391867155,native_raw,0.591394391867155,1,recent_mean_purchase_gap_3,112.0,recent_mean_purchase_gap_3,6.38707154971086,1.8606596437970244,1,log_odds,True,riski artıran
880,655,0.591394391867155,native_raw,0.591394391867155,2,active_weeks,2.0,active_weeks,-1.7782337099811898,1.453531628160059,1,log_odds,True,riski artıran
880,655,0.591394391867155,native_raw,0.591394391867155,3,median_purchase_gap,112.0,median_purchase_gap,7.036237796530111,-0.5510558017636099,-1,log_odds,True,riski azaltan
880,655,0.591394391867155,native_raw,0.591394391867155,4,active_weeks_last_4w,0.0,active_weeks_last_4w,-1.7331179089168254,0.45718616505910575,1,log_odds,True,riski artıran
880,655,0.591394391867155,native_raw,0.591394391867155,5,recency_days,51.0,recency_days,2.5683939080918297,0.4447735837157324,1,log_odds,True,riski artıran
2151,655,0.5909190587919192,native_raw,0.5909190587919192,1,active_weeks,3.0,active_weeks,-1.6424961610367452,1.3347790441600542,1,log_odds,True,riski artıran
2151,655,0.5909190587919192,native_raw,0.5909190587919192,2,recency_to_typical_gap,18.0,recency_to_typical_gap,5.591957909069875,0.6896421232107446,1,log_odds,True,riski artıran
2151,655,0.5909190587919192,native_raw,0.5909190587919192,3,recent_mean_purchase_gap_3,37.0,recent_mean_purchase_gap_3,1.567507428692796,0.4586924959500291,1,log_odds,True,riski artıran
2151,655,0.5909190587919192,native_raw,0.5909190587919192,4,active_weeks_last_4w,0.0,active_weeks_last_4w,-1.7331179089168254,0.45718616505910575,1,log_odds,True,riski artıran
2151,655,0.5909190587919192,native_raw,0.5909190587919192,5,recency_days,45.0,recency_days,2.1841386632913897,0.3799062647489265,1,log_odds,True,riski artıran
2073,655,0.5789368957780247,native_raw,0.5789368957780247,1,active_weeks,2.0,active_weeks,-1.7782337099811898,1.453531628160059,1,log_odds,True,riski artıran
2073,655,0.5789368957780247,native_raw,0.5789368957780247,2,recency_days,72.0,recency_days,3.9132872648933694,0.671809200099553,1,log_odds,True,riski artıran
2073,655,0.5789368957780247,native_raw,0.5789368957780247,3,active_weeks_last_4w,0.0,active_weeks_last_4w,-1.7331179089168254,0.45718616505910575,1,log_odds,True,riski artıran
2073,655,0.5789368957780247,native_raw,0.5789368957780247,4,weekly_spend_cv_12w,3.4641016151377544,weekly_spend_cv_12w,2.449852019891253,0.44457228711681496,1,log_odds,True,riski artıran
2073,655,0.5789368957780247,native_raw,0.5789368957780247,5,discounted_basket_rate,0.3333333333333333,discounted_basket_rate,-3.6397608394746213,0.43765669905595184,1,log_odds,True,riski artıran
2167,655,0.5557166031372548,native_raw,0.5557166031372548,1,active_weeks,2.0,active_weeks,-1.7782337099811898,1.453531628160059,1,log_odds,True,riski artıran
2167,655,0.5557166031372548,native_raw,0.5557166031372548,2,recency_days,82.0,recency_days,4.553712672894102,0.7799213983775627,1,log_odds,True,riski artıran
2167,655,0.5557166031372548,native_raw,0.5557166031372548,3,active_weeks_last_4w,0.0,active_weeks_last_4w,-1.7331179089168254,0.45718616505910575,1,log_odds,True,riski artıran
2167,655,0.5557166031372548,native_raw,0.5557166031372548,4,weekly_spend_cv_12w,3.464101615137754,weekly_spend_cv_12w,2.4498520198912526,0.44457228711681485,1,log_odds,True,riski artıran
2167,655,0.5557166031372548,native_raw,0.5557166031372548,5,unique_products,8.0,unique_products,-1.141306067971105,0.42030669373815677,1,log_odds,True,riski artıran
657,655,0.5497259163352249,native_raw,0.5497259163352249,1,active_weeks,4.0,active_weeks,-1.5067586120923007,1.2160264601600494,1,log_odds,True,riski artıran
657,655,0.5497259163352249,native_raw,0.5497259163352249,2,recency_days,78.0,recency_days,4.297542509693809,0.7366765190663588,1,log_odds,True,riski artıran
657,655,0.5497259163352249,native_raw,0.5497259163352249,3,discounted_basket_rate,0.25,discounted_basket_rate,-4.234166701720369,0.5119292764107937,1,log_odds,True,riski artıran
657,655,0.5497259163352249,native_raw,0.5497259163352249,4,active_weeks_last_4w,0.0,active_weeks_last_4w,-1.7331179089168254,0.45718616505910575,1,log_odds,True,riski artıran
657,655,0.5497259163352249,native_raw,0.5497259163352249,5,weekly_spend_cv_12w,3.464101615137754,weekly_spend_cv_12w,2.4498520198912526,0.44457228711681485,1,log_odds,True,riski artıran
2495,655,0.5469968662001048,native_raw,0.5469968662001048,1,recent_mean_purchase_gap_3,133.0,recent_mean_purchase_gap_3,7.736549503595917,2.253210445194183,1,log_odds,True,riski artıran
2495,655,0.5469968662001048,native_raw,0.5469968662001048,2,active_weeks,2.0,active_weeks,-1.7782337099811898,1.453531628160059,1,log_odds,True,riski artıran
2495,655,0.5469968662001048,native_raw,0.5469968662001048,3,median_purchase_gap,133.0,median_purchase_gap,8.486181804807517,-0.6639054954301544,-1,log_odds,True,riski azaltan
2495,655,0.5469968662001048,native_raw,0.5469968662001048,4,weekly_spend_cv_12w,3.464101615137755,weekly_spend_cv_12w,2.4498520198912535,0.444572287116815,1,log_odds,True,riski artıran
2495,655,0.5469968662001048,native_raw,0.5469968662001048,5,unique_products,2.0,unique_products,-1.1748904919501526,0.4343052513980454,1,log_odds,True,riski artıran
1466,655,0.5404539284101058,native_raw,0.5404539284101058,1,recent_mean_purchase_gap_3,96.0,recent_mean_purchase_gap_3,5.358897870560339,1.5615733189229986,1,log_odds,True,riski artıran
1466,655,0.5404539284101058,native_raw,0.5404539284101058,2,active_weeks,2.0,active_weeks,-1.7782337099811898,1.453531628160059,1,log_odds,True,riski artıran
1466,655,0.5404539284101058,native_raw,0.5404539284101058,3,recency_days,71.0,recency_days,3.849244724093296,0.660997980271752,1,log_odds,True,riski artıran
1466,655,0.5404539284101058,native_raw,0.5404539284101058,4,median_purchase_gap,96.0,median_purchase_gap,5.931518552128278,-0.465075082779576,-1,log_odds,True,riski azaltan
1466,655,0.5404539284101058,native_raw,0.5404539284101058,5,active_weeks_last_4w,0.0,active_weeks_last_4w,-1.7331179089168254,0.45718616505910575,1,log_odds,True,riski artıran
683,655,0.5361539279636202,native_raw,0.5361539279636202,1,recent_mean_purchase_gap_3,108.0,recent_mean_purchase_gap_3,6.13002812992323,1.785888062578518,1,log_odds,True,riski artıran
683,655,0.5361539279636202,native_raw,0.5361539279636202,2,active_weeks,2.0,active_weeks,-1.7782337099811898,1.453531628160059,1,log_odds,True,riski artıran
683,655,0.5361539279636202,native_raw,0.5361539279636202,3,median_purchase_gap,108.0,median_purchase_gap,6.760057985429652,-0.5295606220176015,-1,log_odds,True,riski azaltan
683,655,0.5361539279636202,native_raw,0.5361539279636202,4,recency_days,58.0,recency_days,3.016691693692343,0.5204521225103392,1,log_odds,True,riski artıran
